region,district,area,table,row,column,value,row_no
kl,e,e17,5,a78_<,c77_male,77.0,78
kl,e,e17,5,a80_2000,c77_male,98.0,80
kl,e,e17,5,a82_4000,c77_male,172.0,82
kl,e,e17,5,a84_6000,c77_male,266.0,84
kl,e,e17,5,a86_8000,c77_male,273.0,86
kl,e,e17,5,a88_10000,c77_male,795.0,88
kl,e,e17,5,a90_15000,c77_male,669.0,90
kl,e,e17,5,a92_20000,c77_male,895.0,92
kl,e,e17,5,a94_25000,c77_male,438.0,94
kl,e,e17,5,a96_30000,c77_male,947.0,96
kl,e,e17,5,a98_40000,c77_male,818.0,98
kl,e,e17,5,a100_>=,c77_male,1271.0,100
