region,district,area,table,row,column,value,row_no
hk,b,b06,5,a78_<,c77_male,65.0,78
hk,b,b06,5,a80_2000,c77_male,26.0,80
hk,b,b06,5,a82_4000,c77_male,45.0,82
hk,b,b06,5,a84_6000,c77_male,8.0,84
hk,b,b06,5,a86_8000,c77_male,79.0,86
hk,b,b06,5,a88_10000,c77_male,244.0,88
hk,b,b06,5,a90_15000,c77_male,149.0,90
hk,b,b06,5,a92_20000,c77_male,231.0,92
hk,b,b06,5,a94_25000,c77_male,115.0,94
hk,b,b06,5,a96_30000,c77_male,332.0,96
hk,b,b06,5,a98_40000,c77_male,532.0,98
hk,b,b06,5,a100_>=,c77_male,1723.0,100
