region,district,area,table,row,column,value,row_no
kl,e,e04,5,a78_<,d77_female,72.0,78
kl,e,e04,5,a80_2000,d77_female,882.0,80
kl,e,e04,5,a82_4000,d77_female,429.0,82
kl,e,e04,5,a84_6000,d77_female,749.0,84
kl,e,e04,5,a86_8000,d77_female,710.0,86
kl,e,e04,5,a88_10000,d77_female,865.0,88
kl,e,e04,5,a90_15000,d77_female,538.0,90
kl,e,e04,5,a92_20000,d77_female,231.0,92
kl,e,e04,5,a94_25000,d77_female,156.0,94
kl,e,e04,5,a96_30000,d77_female,412.0,96
kl,e,e04,5,a98_40000,d77_female,188.0,98
kl,e,e04,5,a100_>=,d77_female,55.0,100
