region,district,area,table,row,column,value,row_no
kl,j,j20,5,a78_<,c77_male,65.0,78
kl,j,j20,5,a80_2000,c77_male,111.0,80
kl,j,j20,5,a82_4000,c77_male,273.0,82
kl,j,j20,5,a84_6000,c77_male,533.0,84
kl,j,j20,5,a86_8000,c77_male,660.0,86
kl,j,j20,5,a88_10000,c77_male,1520.0,88
kl,j,j20,5,a90_15000,c77_male,574.0,90
kl,j,j20,5,a92_20000,c77_male,693.0,92
kl,j,j20,5,a94_25000,c77_male,454.0,94
kl,j,j20,5,a96_30000,c77_male,144.0,96
kl,j,j20,5,a98_40000,c77_male,116.0,98
kl,j,j20,5,a100_>=,c77_male,30.0,100
