region,district,area,table,row,column,value,row_no
hk,b,b02,5,a78_<,c77_male,64.0,78
hk,b,b02,5,a80_2000,c77_male,51.0,80
hk,b,b02,5,a82_4000,c77_male,157.0,82
hk,b,b02,5,a84_6000,c77_male,325.0,84
hk,b,b02,5,a86_8000,c77_male,561.0,86
hk,b,b02,5,a88_10000,c77_male,809.0,88
hk,b,b02,5,a90_15000,c77_male,545.0,90
hk,b,b02,5,a92_20000,c77_male,385.0,92
hk,b,b02,5,a94_25000,c77_male,194.0,94
hk,b,b02,5,a96_30000,c77_male,331.0,96
hk,b,b02,5,a98_40000,c77_male,243.0,98
hk,b,b02,5,a100_>=,c77_male,176.0,100
