region,district,area,table,row,column,value,row_no
nt,r,r18,5,a78_<,e77_both,153.0,78
nt,r,r18,5,a80_2000,e77_both,732.0,80
nt,r,r18,5,a82_4000,e77_both,577.0,82
nt,r,r18,5,a84_6000,e77_both,1361.0,84
nt,r,r18,5,a86_8000,e77_both,1512.0,86
nt,r,r18,5,a88_10000,e77_both,2697.0,88
nt,r,r18,5,a90_15000,e77_both,1505.0,90
nt,r,r18,5,a92_20000,e77_both,888.0,92
nt,r,r18,5,a94_25000,e77_both,277.0,94
nt,r,r18,5,a96_30000,e77_both,381.0,96
nt,r,r18,5,a98_40000,e77_both,107.0,98
nt,r,r18,5,a100_>=,e77_both,22.0,100
