region,district,area,table,row,column,value,row_no
hk,c,c08,5,a78_<,c77_male,24.0,78
hk,c,c08,5,a80_2000,c77_male,107.0,80
hk,c,c08,5,a82_4000,c77_male,100.0,82
hk,c,c08,5,a84_6000,c77_male,462.0,84
hk,c,c08,5,a86_8000,c77_male,541.0,86
hk,c,c08,5,a88_10000,c77_male,1009.0,88
hk,c,c08,5,a90_15000,c77_male,520.0,90
hk,c,c08,5,a92_20000,c77_male,257.0,92
hk,c,c08,5,a94_25000,c77_male,282.0,94
hk,c,c08,5,a96_30000,c77_male,273.0,96
hk,c,c08,5,a98_40000,c77_male,103.0,98
hk,c,c08,5,a100_>=,c77_male,12.0,100
