region,district,area,table,row,column,value,row_no
nt,n,n14,5,a78_<,c77_male,26.0,78
nt,n,n14,5,a80_2000,c77_male,59.0,80
nt,n,n14,5,a82_4000,c77_male,115.0,82
nt,n,n14,5,a84_6000,c77_male,455.0,84
nt,n,n14,5,a86_8000,c77_male,474.0,86
nt,n,n14,5,a88_10000,c77_male,1382.0,88
nt,n,n14,5,a90_15000,c77_male,547.0,90
nt,n,n14,5,a92_20000,c77_male,327.0,92
nt,n,n14,5,a94_25000,c77_male,64.0,94
nt,n,n14,5,a96_30000,c77_male,234.0,96
nt,n,n14,5,a98_40000,c77_male,121.0,98
nt,n,n14,5,a100_>=,c77_male,0.0,100
