region,district,area,table,row,column,value,row_no
kl,h,h14,5,a78_<,c77_male,49.0,78
kl,h,h14,5,a80_2000,c77_male,122.0,80
kl,h,h14,5,a82_4000,c77_male,85.0,82
kl,h,h14,5,a84_6000,c77_male,566.0,84
kl,h,h14,5,a86_8000,c77_male,880.0,86
kl,h,h14,5,a88_10000,c77_male,1061.0,88
kl,h,h14,5,a90_15000,c77_male,296.0,90
kl,h,h14,5,a92_20000,c77_male,160.0,92
kl,h,h14,5,a94_25000,c77_male,6.0,94
kl,h,h14,5,a96_30000,c77_male,34.0,96
kl,h,h14,5,a98_40000,c77_male,0.0,98
kl,h,h14,5,a100_>=,c77_male,0.0,100
