region,district,area,table,row,column,value,row_no
nt,k,k14,5,a78_<,d77_female,138.0,78
nt,k,k14,5,a80_2000,d77_female,594.0,80
nt,k,k14,5,a82_4000,d77_female,406.0,82
nt,k,k14,5,a84_6000,d77_female,851.0,84
nt,k,k14,5,a86_8000,d77_female,1000.0,86
nt,k,k14,5,a88_10000,d77_female,848.0,88
nt,k,k14,5,a90_15000,d77_female,331.0,90
nt,k,k14,5,a92_20000,d77_female,141.0,92
nt,k,k14,5,a94_25000,d77_female,167.0,94
nt,k,k14,5,a96_30000,d77_female,53.0,96
nt,k,k14,5,a98_40000,d77_female,70.0,98
nt,k,k14,5,a100_>=,d77_female,86.0,100
