region,district,area,table,row,column,value,row_no
kl,e,e14,5,a78_<,d77_female,73.0,78
kl,e,e14,5,a80_2000,d77_female,764.0,80
kl,e,e14,5,a82_4000,d77_female,156.0,82
kl,e,e14,5,a84_6000,d77_female,331.0,84
kl,e,e14,5,a86_8000,d77_female,433.0,86
kl,e,e14,5,a88_10000,d77_female,667.0,88
kl,e,e14,5,a90_15000,d77_female,283.0,90
kl,e,e14,5,a92_20000,d77_female,310.0,92
kl,e,e14,5,a94_25000,d77_female,192.0,94
kl,e,e14,5,a96_30000,d77_female,460.0,96
kl,e,e14,5,a98_40000,d77_female,88.0,98
kl,e,e14,5,a100_>=,d77_female,65.0,100
