region,district,area,table,row,column,value,row_no
kl,j,j35,5,a78_<,e77_both,74.0,78
kl,j,j35,5,a80_2000,e77_both,538.0,80
kl,j,j35,5,a82_4000,e77_both,493.0,82
kl,j,j35,5,a84_6000,e77_both,1043.0,84
kl,j,j35,5,a86_8000,e77_both,994.0,86
kl,j,j35,5,a88_10000,e77_both,1357.0,88
kl,j,j35,5,a90_15000,e77_both,483.0,90
kl,j,j35,5,a92_20000,e77_both,313.0,92
kl,j,j35,5,a94_25000,e77_both,567.0,94
kl,j,j35,5,a96_30000,e77_both,345.0,96
kl,j,j35,5,a98_40000,e77_both,147.0,98
kl,j,j35,5,a100_>=,e77_both,13.0,100
