region,district,area,table,row,column,value,row_no
nt,k,k03,5,a78_<,d77_female,57.0,78
nt,k,k03,5,a80_2000,d77_female,971.0,80
nt,k,k03,5,a82_4000,d77_female,210.0,82
nt,k,k03,5,a84_6000,d77_female,338.0,84
nt,k,k03,5,a86_8000,d77_female,340.0,86
nt,k,k03,5,a88_10000,d77_female,861.0,88
nt,k,k03,5,a90_15000,d77_female,730.0,90
nt,k,k03,5,a92_20000,d77_female,433.0,92
nt,k,k03,5,a94_25000,d77_female,251.0,94
nt,k,k03,5,a96_30000,d77_female,412.0,96
nt,k,k03,5,a98_40000,d77_female,372.0,98
nt,k,k03,5,a100_>=,d77_female,104.0,100
