region,district,area,table,row,column,value,row_no
nt,l,l08,5,a78_<,d77_female,98.0,78
nt,l,l08,5,a80_2000,d77_female,443.0,80
nt,l,l08,5,a82_4000,d77_female,584.0,82
nt,l,l08,5,a84_6000,d77_female,782.0,84
nt,l,l08,5,a86_8000,d77_female,933.0,86
nt,l,l08,5,a88_10000,d77_female,689.0,88
nt,l,l08,5,a90_15000,d77_female,235.0,90
nt,l,l08,5,a92_20000,d77_female,109.0,92
nt,l,l08,5,a94_25000,d77_female,67.0,94
nt,l,l08,5,a96_30000,d77_female,9.0,96
nt,l,l08,5,a98_40000,d77_female,0.0,98
nt,l,l08,5,a100_>=,d77_female,9.0,100
