region,district,area,table,row,column,value,row_no
nt,q,q18,5,a78_<,c77_male,81.0,78
nt,q,q18,5,a80_2000,c77_male,183.0,80
nt,q,q18,5,a82_4000,c77_male,136.0,82
nt,q,q18,5,a84_6000,c77_male,714.0,84
nt,q,q18,5,a86_8000,c77_male,808.0,86
nt,q,q18,5,a88_10000,c77_male,1795.0,88
nt,q,q18,5,a90_15000,c77_male,747.0,90
nt,q,q18,5,a92_20000,c77_male,384.0,92
nt,q,q18,5,a94_25000,c77_male,107.0,94
nt,q,q18,5,a96_30000,c77_male,70.0,96
nt,q,q18,5,a98_40000,c77_male,16.0,98
nt,q,q18,5,a100_>=,c77_male,0.0,100
