region,district,area,table,row,column,value,row_no
hk,b,b05,5,a78_<,c77_male,152.0,78
hk,b,b05,5,a80_2000,c77_male,84.0,80
hk,b,b05,5,a82_4000,c77_male,12.0,82
hk,b,b05,5,a84_6000,c77_male,140.0,84
hk,b,b05,5,a86_8000,c77_male,205.0,86
hk,b,b05,5,a88_10000,c77_male,626.0,88
hk,b,b05,5,a90_15000,c77_male,254.0,90
hk,b,b05,5,a92_20000,c77_male,339.0,92
hk,b,b05,5,a94_25000,c77_male,193.0,94
hk,b,b05,5,a96_30000,c77_male,385.0,96
hk,b,b05,5,a98_40000,c77_male,472.0,98
hk,b,b05,5,a100_>=,c77_male,608.0,100
