region,district,area,table,row,column,value,row_no
nt,p,p10,5,a78_<,e77_both,128.0,78
nt,p,p10,5,a80_2000,e77_both,1736.0,80
nt,p,p10,5,a82_4000,e77_both,330.0,82
nt,p,p10,5,a84_6000,e77_both,329.0,84
nt,p,p10,5,a86_8000,e77_both,410.0,86
nt,p,p10,5,a88_10000,e77_both,1096.0,88
nt,p,p10,5,a90_15000,e77_both,924.0,90
nt,p,p10,5,a92_20000,e77_both,734.0,92
nt,p,p10,5,a94_25000,e77_both,381.0,94
nt,p,p10,5,a96_30000,e77_both,717.0,96
nt,p,p10,5,a98_40000,e77_both,774.0,98
nt,p,p10,5,a100_>=,e77_both,1035.0,100
