region,district,area,table,row,column,value,row_no
kl,j,j32,5,a78_<,c77_male,86.0,78
kl,j,j32,5,a80_2000,c77_male,145.0,80
kl,j,j32,5,a82_4000,c77_male,227.0,82
kl,j,j32,5,a84_6000,c77_male,588.0,84
kl,j,j32,5,a86_8000,c77_male,793.0,86
kl,j,j32,5,a88_10000,c77_male,1087.0,88
kl,j,j32,5,a90_15000,c77_male,384.0,90
kl,j,j32,5,a92_20000,c77_male,145.0,92
kl,j,j32,5,a94_25000,c77_male,18.0,94
kl,j,j32,5,a96_30000,c77_male,44.0,96
kl,j,j32,5,a98_40000,c77_male,13.0,98
kl,j,j32,5,a100_>=,c77_male,14.0,100
