region,district,area,table,row,column,value,row_no
nt,k,k16,5,a78_<,e77_both,134.0,78
nt,k,k16,5,a80_2000,e77_both,358.0,80
nt,k,k16,5,a82_4000,e77_both,453.0,82
nt,k,k16,5,a84_6000,e77_both,1021.0,84
nt,k,k16,5,a86_8000,e77_both,1240.0,86
nt,k,k16,5,a88_10000,e77_both,1212.0,88
nt,k,k16,5,a90_15000,e77_both,759.0,90
nt,k,k16,5,a92_20000,e77_both,239.0,92
nt,k,k16,5,a94_25000,e77_both,99.0,94
nt,k,k16,5,a96_30000,e77_both,31.0,96
nt,k,k16,5,a98_40000,e77_both,13.0,98
nt,k,k16,5,a100_>=,e77_both,0.0,100
