region,district,area,table,row,column,value,row_no
nt,q,q12,5,a78_<,c77_male,41.0,78
nt,q,q12,5,a80_2000,c77_male,116.0,80
nt,q,q12,5,a82_4000,c77_male,151.0,82
nt,q,q12,5,a84_6000,c77_male,299.0,84
nt,q,q12,5,a86_8000,c77_male,425.0,86
nt,q,q12,5,a88_10000,c77_male,1315.0,88
nt,q,q12,5,a90_15000,c77_male,1232.0,90
nt,q,q12,5,a92_20000,c77_male,927.0,92
nt,q,q12,5,a94_25000,c77_male,574.0,94
nt,q,q12,5,a96_30000,c77_male,833.0,96
nt,q,q12,5,a98_40000,c77_male,576.0,98
nt,q,q12,5,a100_>=,c77_male,267.0,100
