region,district,area,table,row,column,value,row_no
nt,n,n13,5,a78_<,d77_female,26.0,78
nt,n,n13,5,a80_2000,d77_female,399.0,80
nt,n,n13,5,a82_4000,d77_female,254.0,82
nt,n,n13,5,a84_6000,d77_female,675.0,84
nt,n,n13,5,a86_8000,d77_female,424.0,86
nt,n,n13,5,a88_10000,d77_female,546.0,88
nt,n,n13,5,a90_15000,d77_female,224.0,90
nt,n,n13,5,a92_20000,d77_female,184.0,92
nt,n,n13,5,a94_25000,d77_female,17.0,94
nt,n,n13,5,a96_30000,d77_female,59.0,96
nt,n,n13,5,a98_40000,d77_female,134.0,98
nt,n,n13,5,a100_>=,d77_female,31.0,100
