region,district,area,table,row,column,value,row_no
kl,j,j06,5,a78_<,e77_both,126.0,78
kl,j,j06,5,a80_2000,e77_both,533.0,80
kl,j,j06,5,a82_4000,e77_both,499.0,82
kl,j,j06,5,a84_6000,e77_both,1733.0,84
kl,j,j06,5,a86_8000,e77_both,1487.0,86
kl,j,j06,5,a88_10000,e77_both,1594.0,88
kl,j,j06,5,a90_15000,e77_both,517.0,90
kl,j,j06,5,a92_20000,e77_both,180.0,92
kl,j,j06,5,a94_25000,e77_both,101.0,94
kl,j,j06,5,a96_30000,e77_both,43.0,96
kl,j,j06,5,a98_40000,e77_both,31.0,98
kl,j,j06,5,a100_>=,e77_both,15.0,100
