region,district,area,table,row,column,value,row_no
hk,b,b01,5,a78_<,e77_both,65.0,78
hk,b,b01,5,a80_2000,e77_both,680.0,80
hk,b,b01,5,a82_4000,e77_both,320.0,82
hk,b,b01,5,a84_6000,e77_both,565.0,84
hk,b,b01,5,a86_8000,e77_both,698.0,86
hk,b,b01,5,a88_10000,e77_both,1435.0,88
hk,b,b01,5,a90_15000,e77_both,785.0,90
hk,b,b01,5,a92_20000,e77_both,645.0,92
hk,b,b01,5,a94_25000,e77_both,357.0,94
hk,b,b01,5,a96_30000,e77_both,528.0,96
hk,b,b01,5,a98_40000,e77_both,545.0,98
hk,b,b01,5,a100_>=,e77_both,377.0,100
