region,district,area,table,row,column,value,row_no
nt,n,n15,5,a78_<,d77_female,100.0,78
nt,n,n15,5,a80_2000,d77_female,439.0,80
nt,n,n15,5,a82_4000,d77_female,221.0,82
nt,n,n15,5,a84_6000,d77_female,452.0,84
nt,n,n15,5,a86_8000,d77_female,597.0,86
nt,n,n15,5,a88_10000,d77_female,413.0,88
nt,n,n15,5,a90_15000,d77_female,72.0,90
nt,n,n15,5,a92_20000,d77_female,33.0,92
nt,n,n15,5,a94_25000,d77_female,78.0,94
nt,n,n15,5,a96_30000,d77_female,14.0,96
nt,n,n15,5,a98_40000,d77_female,39.0,98
nt,n,n15,5,a100_>=,d77_female,0.0,100
