region,district,area,table,row,column,value,row_no
kl,h,h15,5,a78_<,d77_female,40.0,78
kl,h,h15,5,a80_2000,d77_female,541.0,80
kl,h,h15,5,a82_4000,d77_female,229.0,82
kl,h,h15,5,a84_6000,d77_female,796.0,84
kl,h,h15,5,a86_8000,d77_female,634.0,86
kl,h,h15,5,a88_10000,d77_female,926.0,88
kl,h,h15,5,a90_15000,d77_female,416.0,90
kl,h,h15,5,a92_20000,d77_female,321.0,92
kl,h,h15,5,a94_25000,d77_female,65.0,94
kl,h,h15,5,a96_30000,d77_female,52.0,96
kl,h,h15,5,a98_40000,d77_female,0.0,98
kl,h,h15,5,a100_>=,d77_female,0.0,100
