region,district,area,table,row,column,value,row_no
kl,g,g22,5,a78_<,e77_both,141.0,78
kl,g,g22,5,a80_2000,e77_both,623.0,80
kl,g,g22,5,a82_4000,e77_both,328.0,82
kl,g,g22,5,a84_6000,e77_both,824.0,84
kl,g,g22,5,a86_8000,e77_both,864.0,86
kl,g,g22,5,a88_10000,e77_both,1588.0,88
kl,g,g22,5,a90_15000,e77_both,636.0,90
kl,g,g22,5,a92_20000,e77_both,401.0,92
kl,g,g22,5,a94_25000,e77_both,222.0,94
kl,g,g22,5,a96_30000,e77_both,235.0,96
kl,g,g22,5,a98_40000,e77_both,227.0,98
kl,g,g22,5,a100_>=,e77_both,105.0,100
