region,district,area,table,row,column,value,row_no
nt,q,q12,5,a78_<,d77_female,112.0,78
nt,q,q12,5,a80_2000,d77_female,1211.0,80
nt,q,q12,5,a82_4000,d77_female,233.0,82
nt,q,q12,5,a84_6000,d77_female,322.0,84
nt,q,q12,5,a86_8000,d77_female,399.0,86
nt,q,q12,5,a88_10000,d77_female,1306.0,88
nt,q,q12,5,a90_15000,d77_female,998.0,90
nt,q,q12,5,a92_20000,d77_female,676.0,92
nt,q,q12,5,a94_25000,d77_female,542.0,94
nt,q,q12,5,a96_30000,d77_female,686.0,96
nt,q,q12,5,a98_40000,d77_female,389.0,98
nt,q,q12,5,a100_>=,d77_female,218.0,100
