region,district,area,table,row,column,value,row_no
nt,p,p12,5,a78_<,c77_male,58.0,78
nt,p,p12,5,a80_2000,c77_male,48.0,80
nt,p,p12,5,a82_4000,c77_male,102.0,82
nt,p,p12,5,a84_6000,c77_male,186.0,84
nt,p,p12,5,a86_8000,c77_male,357.0,86
nt,p,p12,5,a88_10000,c77_male,837.0,88
nt,p,p12,5,a90_15000,c77_male,627.0,90
nt,p,p12,5,a92_20000,c77_male,544.0,92
nt,p,p12,5,a94_25000,c77_male,338.0,94
nt,p,p12,5,a96_30000,c77_male,523.0,96
nt,p,p12,5,a98_40000,c77_male,412.0,98
nt,p,p12,5,a100_>=,c77_male,518.0,100
