region,district,area,table,row,column,value,row_no
kl,j,j06,5,a78_<,c77_male,41.0,78
kl,j,j06,5,a80_2000,c77_male,203.0,80
kl,j,j06,5,a82_4000,c77_male,187.0,82
kl,j,j06,5,a84_6000,c77_male,698.0,84
kl,j,j06,5,a86_8000,c77_male,800.0,86
kl,j,j06,5,a88_10000,c77_male,1155.0,88
kl,j,j06,5,a90_15000,c77_male,354.0,90
kl,j,j06,5,a92_20000,c77_male,103.0,92
kl,j,j06,5,a94_25000,c77_male,29.0,94
kl,j,j06,5,a96_30000,c77_male,15.0,96
kl,j,j06,5,a98_40000,c77_male,0.0,98
kl,j,j06,5,a100_>=,c77_male,0.0,100
