region,district,area,table,row,column,value,row_no
nt,m,m19,5,a78_<,c77_male,172.0,78
nt,m,m19,5,a80_2000,c77_male,223.0,80
nt,m,m19,5,a82_4000,c77_male,381.0,82
nt,m,m19,5,a84_6000,c77_male,724.0,84
nt,m,m19,5,a86_8000,c77_male,1195.0,86
nt,m,m19,5,a88_10000,c77_male,1718.0,88
nt,m,m19,5,a90_15000,c77_male,698.0,90
nt,m,m19,5,a92_20000,c77_male,238.0,92
nt,m,m19,5,a94_25000,c77_male,17.0,94
nt,m,m19,5,a96_30000,c77_male,16.0,96
nt,m,m19,5,a98_40000,c77_male,0.0,98
nt,m,m19,5,a100_>=,c77_male,0.0,100
