region,district,area,table,row,column,value,row_no
nt,q,q06,5,a78_<,d77_female,93.0,78
nt,q,q06,5,a80_2000,d77_female,796.0,80
nt,q,q06,5,a82_4000,d77_female,204.0,82
nt,q,q06,5,a84_6000,d77_female,307.0,84
nt,q,q06,5,a86_8000,d77_female,381.0,86
nt,q,q06,5,a88_10000,d77_female,1033.0,88
nt,q,q06,5,a90_15000,d77_female,985.0,90
nt,q,q06,5,a92_20000,d77_female,526.0,92
nt,q,q06,5,a94_25000,d77_female,248.0,94
nt,q,q06,5,a96_30000,d77_female,398.0,96
nt,q,q06,5,a98_40000,d77_female,154.0,98
nt,q,q06,5,a100_>=,d77_female,140.0,100
