region,district,area,table,row,column,value,row_no
hk,c,c09,5,a78_<,e77_both,116.0,78
hk,c,c09,5,a80_2000,e77_both,1276.0,80
hk,c,c09,5,a82_4000,e77_both,264.0,82
hk,c,c09,5,a84_6000,e77_both,358.0,84
hk,c,c09,5,a86_8000,e77_both,569.0,86
hk,c,c09,5,a88_10000,e77_both,1464.0,88
hk,c,c09,5,a90_15000,e77_both,1068.0,90
hk,c,c09,5,a92_20000,e77_both,1017.0,92
hk,c,c09,5,a94_25000,e77_both,573.0,94
hk,c,c09,5,a96_30000,e77_both,932.0,96
hk,c,c09,5,a98_40000,e77_both,1034.0,98
hk,c,c09,5,a100_>=,e77_both,895.0,100
