region,district,area,table,row,column,value,row_no
nt,t,t10,5,a78_<,c77_male,39.0,78
nt,t,t10,5,a80_2000,c77_male,48.0,80
nt,t,t10,5,a82_4000,c77_male,190.0,82
nt,t,t10,5,a84_6000,c77_male,348.0,84
nt,t,t10,5,a86_8000,c77_male,385.0,86
nt,t,t10,5,a88_10000,c77_male,1210.0,88
nt,t,t10,5,a90_15000,c77_male,445.0,90
nt,t,t10,5,a92_20000,c77_male,97.0,92
nt,t,t10,5,a94_25000,c77_male,88.0,94
nt,t,t10,5,a96_30000,c77_male,19.0,96
nt,t,t10,5,a98_40000,c77_male,0.0,98
nt,t,t10,5,a100_>=,c77_male,39.0,100
