region,district,area,table,row,column,value,row_no
kl,j,j10,5,a78_<,e77_both,232.0,78
kl,j,j10,5,a80_2000,e77_both,262.0,80
kl,j,j10,5,a82_4000,e77_both,303.0,82
kl,j,j10,5,a84_6000,e77_both,1007.0,84
kl,j,j10,5,a86_8000,e77_both,1321.0,86
kl,j,j10,5,a88_10000,e77_both,1535.0,88
kl,j,j10,5,a90_15000,e77_both,586.0,90
kl,j,j10,5,a92_20000,e77_both,271.0,92
kl,j,j10,5,a94_25000,e77_both,173.0,94
kl,j,j10,5,a96_30000,e77_both,31.0,96
kl,j,j10,5,a98_40000,e77_both,0.0,98
kl,j,j10,5,a100_>=,e77_both,9.0,100
