region,district,area,table,row,column,value,row_no
nt,t,t06,5,a78_<,c77_male,79.0,78
nt,t,t06,5,a80_2000,c77_male,63.0,80
nt,t,t06,5,a82_4000,c77_male,23.0,82
nt,t,t06,5,a84_6000,c77_male,34.0,84
nt,t,t06,5,a86_8000,c77_male,29.0,86
nt,t,t06,5,a88_10000,c77_male,177.0,88
nt,t,t06,5,a90_15000,c77_male,209.0,90
nt,t,t06,5,a92_20000,c77_male,345.0,92
nt,t,t06,5,a94_25000,c77_male,85.0,94
nt,t,t06,5,a96_30000,c77_male,379.0,96
nt,t,t06,5,a98_40000,c77_male,543.0,98
nt,t,t06,5,a100_>=,c77_male,1217.0,100
