region,district,area,table,row,column,value,row_no
nt,k,k14,5,a78_<,e77_both,220.0,78
nt,k,k14,5,a80_2000,e77_both,858.0,80
nt,k,k14,5,a82_4000,e77_both,610.0,82
nt,k,k14,5,a84_6000,e77_both,1540.0,84
nt,k,k14,5,a86_8000,e77_both,2145.0,86
nt,k,k14,5,a88_10000,e77_both,2408.0,88
nt,k,k14,5,a90_15000,e77_both,952.0,90
nt,k,k14,5,a92_20000,e77_both,329.0,92
nt,k,k14,5,a94_25000,e77_both,254.0,94
nt,k,k14,5,a96_30000,e77_both,224.0,96
nt,k,k14,5,a98_40000,e77_both,115.0,98
nt,k,k14,5,a100_>=,e77_both,194.0,100
