region,district,area,table,row,column,value,row_no
nt,q,q19,5,a78_<,d77_female,31.0,78
nt,q,q19,5,a80_2000,d77_female,454.0,80
nt,q,q19,5,a82_4000,d77_female,453.0,82
nt,q,q19,5,a84_6000,d77_female,716.0,84
nt,q,q19,5,a86_8000,d77_female,877.0,86
nt,q,q19,5,a88_10000,d77_female,950.0,88
nt,q,q19,5,a90_15000,d77_female,441.0,90
nt,q,q19,5,a92_20000,d77_female,149.0,92
nt,q,q19,5,a94_25000,d77_female,124.0,94
nt,q,q19,5,a96_30000,d77_female,51.0,96
nt,q,q19,5,a98_40000,d77_female,9.0,98
nt,q,q19,5,a100_>=,d77_female,0.0,100
