region,district,area,table,row,column,value,row_no
kl,f,f16,5,a78_<,e77_both,241.0,78
kl,f,f16,5,a80_2000,e77_both,725.0,80
kl,f,f16,5,a82_4000,e77_both,620.0,82
kl,f,f16,5,a84_6000,e77_both,1616.0,84
kl,f,f16,5,a86_8000,e77_both,1431.0,86
kl,f,f16,5,a88_10000,e77_both,2240.0,88
kl,f,f16,5,a90_15000,e77_both,882.0,90
kl,f,f16,5,a92_20000,e77_both,432.0,92
kl,f,f16,5,a94_25000,e77_both,149.0,94
kl,f,f16,5,a96_30000,e77_both,277.0,96
kl,f,f16,5,a98_40000,e77_both,76.0,98
kl,f,f16,5,a100_>=,e77_both,26.0,100
