region,district,area,table,row,column,value,row_no
nt,r,r06,5,a78_<,e77_both,112.0,78
nt,r,r06,5,a80_2000,e77_both,901.0,80
nt,r,r06,5,a82_4000,e77_both,319.0,82
nt,r,r06,5,a84_6000,e77_both,402.0,84
nt,r,r06,5,a86_8000,e77_both,901.0,86
nt,r,r06,5,a88_10000,e77_both,2145.0,88
nt,r,r06,5,a90_15000,e77_both,1324.0,90
nt,r,r06,5,a92_20000,e77_both,1175.0,92
nt,r,r06,5,a94_25000,e77_both,624.0,94
nt,r,r06,5,a96_30000,e77_both,786.0,96
nt,r,r06,5,a98_40000,e77_both,730.0,98
nt,r,r06,5,a100_>=,e77_both,415.0,100
