region,district,area,table,row,column,value,row_no
nt,k,k01,5,a78_<,c77_male,135.0,78
nt,k,k01,5,a80_2000,c77_male,136.0,80
nt,k,k01,5,a82_4000,c77_male,143.0,82
nt,k,k01,5,a84_6000,c77_male,370.0,84
nt,k,k01,5,a86_8000,c77_male,849.0,86
nt,k,k01,5,a88_10000,c77_male,1169.0,88
nt,k,k01,5,a90_15000,c77_male,676.0,90
nt,k,k01,5,a92_20000,c77_male,589.0,92
nt,k,k01,5,a94_25000,c77_male,256.0,94
nt,k,k01,5,a96_30000,c77_male,328.0,96
nt,k,k01,5,a98_40000,c77_male,360.0,98
nt,k,k01,5,a100_>=,c77_male,263.0,100
