region,district,area,table,row,column,value,row_no
kl,j,j03,5,a78_<,c77_male,52.0,78
kl,j,j03,5,a80_2000,c77_male,125.0,80
kl,j,j03,5,a82_4000,c77_male,142.0,82
kl,j,j03,5,a84_6000,c77_male,526.0,84
kl,j,j03,5,a86_8000,c77_male,569.0,86
kl,j,j03,5,a88_10000,c77_male,910.0,88
kl,j,j03,5,a90_15000,c77_male,553.0,90
kl,j,j03,5,a92_20000,c77_male,248.0,92
kl,j,j03,5,a94_25000,c77_male,118.0,94
kl,j,j03,5,a96_30000,c77_male,118.0,96
kl,j,j03,5,a98_40000,c77_male,55.0,98
kl,j,j03,5,a100_>=,c77_male,28.0,100
