region,district,area,table,row,column,value,row_no
hk,d,d07,5,a78_<,c77_male,45.0,78
hk,d,d07,5,a80_2000,c77_male,0.0,80
hk,d,d07,5,a82_4000,c77_male,31.0,82
hk,d,d07,5,a84_6000,c77_male,38.0,84
hk,d,d07,5,a86_8000,c77_male,149.0,86
hk,d,d07,5,a88_10000,c77_male,492.0,88
hk,d,d07,5,a90_15000,c77_male,395.0,90
hk,d,d07,5,a92_20000,c77_male,290.0,92
hk,d,d07,5,a94_25000,c77_male,446.0,94
hk,d,d07,5,a96_30000,c77_male,606.0,96
hk,d,d07,5,a98_40000,c77_male,698.0,98
hk,d,d07,5,a100_>=,c77_male,872.0,100
