region,district,area,table,row,column,value,row_no
nt,l,l07,5,a78_<,c77_male,56.0,78
nt,l,l07,5,a80_2000,c77_male,7.0,80
nt,l,l07,5,a82_4000,c77_male,123.0,82
nt,l,l07,5,a84_6000,c77_male,127.0,84
nt,l,l07,5,a86_8000,c77_male,586.0,86
nt,l,l07,5,a88_10000,c77_male,1516.0,88
nt,l,l07,5,a90_15000,c77_male,1015.0,90
nt,l,l07,5,a92_20000,c77_male,630.0,92
nt,l,l07,5,a94_25000,c77_male,218.0,94
nt,l,l07,5,a96_30000,c77_male,481.0,96
nt,l,l07,5,a98_40000,c77_male,517.0,98
nt,l,l07,5,a100_>=,c77_male,174.0,100
