region,district,area,table,row,column,value,row_no
nt,m,m29,5,a78_<,d77_female,51.0,78
nt,m,m29,5,a80_2000,d77_female,619.0,80
nt,m,m29,5,a82_4000,d77_female,68.0,82
nt,m,m29,5,a84_6000,d77_female,399.0,84
nt,m,m29,5,a86_8000,d77_female,257.0,86
nt,m,m29,5,a88_10000,d77_female,434.0,88
nt,m,m29,5,a90_15000,d77_female,353.0,90
nt,m,m29,5,a92_20000,d77_female,224.0,92
nt,m,m29,5,a94_25000,d77_female,27.0,94
nt,m,m29,5,a96_30000,d77_female,86.0,96
nt,m,m29,5,a98_40000,d77_female,119.0,98
nt,m,m29,5,a100_>=,d77_female,0.0,100
