region,district,area,table,row,column,value,row_no
hk,c,c06,5,a78_<,e77_both,130.0,78
hk,c,c06,5,a80_2000,e77_both,882.0,80
hk,c,c06,5,a82_4000,e77_both,635.0,82
hk,c,c06,5,a84_6000,e77_both,976.0,84
hk,c,c06,5,a86_8000,e77_both,1461.0,86
hk,c,c06,5,a88_10000,e77_both,2742.0,88
hk,c,c06,5,a90_15000,e77_both,1567.0,90
hk,c,c06,5,a92_20000,e77_both,670.0,92
hk,c,c06,5,a94_25000,e77_both,276.0,94
hk,c,c06,5,a96_30000,e77_both,527.0,96
hk,c,c06,5,a98_40000,e77_both,243.0,98
hk,c,c06,5,a100_>=,e77_both,63.0,100
