region,district,area,table,row,column,value,row_no
kl,g,g19,5,a78_<,d77_female,68.0,78
kl,g,g19,5,a80_2000,d77_female,346.0,80
kl,g,g19,5,a82_4000,d77_female,247.0,82
kl,g,g19,5,a84_6000,d77_female,400.0,84
kl,g,g19,5,a86_8000,d77_female,421.0,86
kl,g,g19,5,a88_10000,d77_female,731.0,88
kl,g,g19,5,a90_15000,d77_female,277.0,90
kl,g,g19,5,a92_20000,d77_female,235.0,92
kl,g,g19,5,a94_25000,d77_female,74.0,94
kl,g,g19,5,a96_30000,d77_female,30.0,96
kl,g,g19,5,a98_40000,d77_female,48.0,98
kl,g,g19,5,a100_>=,d77_female,16.0,100
